game,draw,date,first,second,third,fourth,fifth,sixth
1,1,02/01/2021,6,8,9,36,39,57
1,2,09/01/2021,9,21,23,30,35,38
1,3,16/01/2021,3,15,38,45,48,53
1,4,23/01/2021,1,6,25,45,49,52
1,5,30/01/2021,4,28,31,36,51,55
1,6,06/02/2021,27,28,32,39,46,52
1,7,13/02/2021,15,16,37,42,44,50
2,1,20/02/2021,3,16,18,24,36,56
2,2,27/02/2021,4,33,36,39,45,49
2,3,06/03/2021,16,17,29,47,52,56
2,4,13/03/2021,6,8,11,17,29,44
2,5,20/03/2021,12,15,24,34,36,51
3,1,27/03/2021,3,5,18,22,26,49
3,2,03/04/2021,2,8,28,32,40,45
3,3,10/04/2021,20,25,26,48,49,50
3,4,17/04/2021,7,8,18,21,23,57
3,5,24/04/2021,16,24,29,30,32,38
3,6,01/05/2021,7,10,31,32,34,40
3,7,08/05/2021,10,12,23,31,37,46